status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;3105;more than 1000 DM; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;25;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;2748;unknown or no savings account; more than  7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;real estate;57;bank;own;5-Apr;unskilled - resident;0 to 2;no;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;domestic appliances;3872;unknown or no savings account;unemployed;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;67;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;27;no credits taken or all credits paid back duly;domestic appliances;5190;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;48;none;rent; more than  6;skilled employee or official;3 or more;yes;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;car (used);3001;unknown or no savings account;4 between 7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;40;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;existing credits paid back duly till now;retraining;3863;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;real estate;32;none;own;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);5801;more than 1000 DM; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;49;none;for free;1;skilled employee or official;0 to 2;yes;yes;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);1592;500 between 1000 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;car or other;35;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;retraining;1185;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;car (used);3780;unknown or no savings account; less than  1 yr;20 between 25;male : divorced or separated;none;1 between 4 yrs;building soc. savings agr. or life insurance;35;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;18;all credits at this bank paid back duly;car (used);3612;unknown or no savings account; more than  7 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;car or other;37;none;rent;1;skilled employee or official;0 to 2;yes;yes;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;retraining;1076;unknown or no savings account;1 between 4 yrs;25 between 35;female : single;none;1 between 4 yrs;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;3527;more than 1000 DM; less than  1 yr;25 between 35;male : married or widowed;none;4 between 7 yrs;car or other;45;none;rent;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;2051;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;33;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);3331;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;42;stores;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;18;delay in paying off in the past;retraining;3104;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none; less than  1 yr;car or other;31;bank;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;furniture or equipment;2611;unknown or no savings account; more than  7 yrs; less than  20;female : single;co-applicant;4 between 7 yrs;unknown  or  no property;46;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;12;all credits at this bank paid back duly;car (new);1409;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;54;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;1311;less than 100 DM;4 between 7 yrs; less than  20;female : single;none;4 between 7 yrs;car or other;26;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;furniture or equipment;2108;unknown or no savings account;4 between 7 yrs;25 between 35;female : single;none;1 between 4 yrs;unknown  or  no property;29;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);4042;more than 1000 DM;4 between 7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;car or other;43;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;others;926;unknown or no savings account;unemployed; more than  35;female : non-single or male : single;none;1 between 4 yrs;car or other;38;none;rent;1;unemployed or unskilled - non-resident;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;furniture or equipment;1680;between 100 and 500 DM; more than  7 yrs;20 between 25;female : single;none; less than  1 yr;unknown  or  no property;35;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;1249;unknown or no savings account; less than  1 yr; less than  20;female : single;none;1 between 4 yrs;unknown  or  no property;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;others;2463;less than 100 DM;4 between 7 yrs; less than  20;female : single;none;4 between 7 yrs;car or other;27;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;furniture or equipment;1595;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;car or other;51;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;domestic appliances;2058;unknown or no savings account;1 between 4 yrs; less than  20;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;33;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);7814;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;38;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;furniture or equipment;1740;unknown or no savings account; more than  7 yrs;25 between 35;female : single;none;1 between 4 yrs;unknown  or  no property;30;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;furniture or equipment;1240;more than 1000 DM; more than  7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;38;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);6842;more than 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;46;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (used);5150;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;33;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;6;no credits taken or all credits paid back duly;others;1203;less than 100 DM; more than  7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;car or other;43;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;others;2080;between 100 and 500 DM;1 between 4 yrs; more than  35;female : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;24;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;repairs;1538;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none;1 between 4 yrs;real estate;56;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;24;all credits at this bank paid back duly;others;3878;less than 100 DM; less than  1 yr; less than  20;male : divorced or separated;none;1 between 4 yrs;building soc. savings agr. or life insurance;37;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;30;no credits taken or all credits paid back duly;car (used);3832;unknown or no savings account; less than  1 yr;25 between 35;female : single;none; less than  1 yr;car or other;22;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;others;3186;500 between 1000 DM;4 between 7 yrs;25 between 35;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;20;none;for free;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;24;no credits taken or all credits paid back duly;furniture or equipment;2896;less than 100 DM; less than  1 yr;25 between 35;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;29;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;24;existing credits paid back duly till now;retraining;6967;less than 100 DM;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;36;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;repairs;1819;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;37;stores;own;1;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;5943;more than 1000 DM; less than  1 yr; more than  35;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;44;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;car (used);7127;unknown or no savings account; less than  1 yr;25 between 35;female : non-single or male : single;none; more than  7 yrs;car or other;23;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;car (used);3349;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;car (used);10974;unknown or no savings account;unemployed; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;26;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;furniture or equipment;518;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;29;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;1126;more than 1000 DM; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;21;none;for free;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;all credits at this bank paid back duly;car (new);1860;unknown or no savings account;unemployed; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;34;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;furniture or equipment;9566;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;31;stores;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;furniture or equipment;701;unknown or no savings account;1 between 4 yrs; less than  20;female : single;none;1 between 4 yrs;unknown  or  no property;40;none;rent;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;furniture or equipment;2930;unknown or no savings account;4 between 7 yrs;25 between 35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;27;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;1505;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;real estate;32;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;2238;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;25;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;4;all credits at this bank paid back duly;furniture or equipment;1503;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;unknown  or  no property;42;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);2197;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;43;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;furniture or equipment;1881;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;44;none;for free;1;unskilled - resident;0 to 2;yes;no;good
no checking account;18;all credits at this bank paid back duly;furniture or equipment;1880;unknown or no savings account;4 between 7 yrs; less than  20;female : single;none; less than  1 yr;car or other;32;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;18;no credits taken or all credits paid back duly;furniture or equipment;2389;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;27;stores;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;24;no credits taken or all credits paid back duly;furniture or equipment;1967;unknown or no savings account; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;20;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;4;all credits at this bank paid back duly;others;3380;unknown or no savings account;4 between 7 yrs; more than  35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;37;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;4;all credits at this bank paid back duly;others;1455;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;unknown  or  no property;42;none;rent;5-Apr;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;7;all credits at this bank paid back duly;furniture or equipment;730;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;46;none;for free;3-Feb;unskilled - resident;0 to 2;yes;no;good
less than 0 DM;18;delay in paying off in the past;car (used);3244;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;33;bank;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;9;no credits taken or all credits paid back duly;furniture or equipment;1670;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;22;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;48;no credits taken or all credits paid back duly;furniture or equipment;3979;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;41;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;car (used);1922;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;37;none;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;18;all credits at this bank paid back duly;car (used);1295;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;car or other;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;4;all credits at this bank paid back duly;furniture or equipment;1544;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;unknown  or  no property;42;none;rent;5-Apr;unskilled - resident;3 or more;no;no;good
less than 0 DM;8;no credits taken or all credits paid back duly;retraining;907;unknown or no savings account; less than  1 yr;20 between 25;female : single;none;1 between 4 yrs;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;30;no credits taken or all credits paid back duly;furniture or equipment;1715;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;10;all credits at this bank paid back duly;furniture or equipment;1347;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;27;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;others;1007;500 between 1000 DM;1 between 4 yrs; less than  20;female : single;none; less than  1 yr;unknown  or  no property;22;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);1402;between 100 and 500 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;37;none;for free;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;others;2002;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;car or other;30;none;for free;1;skilled employee or official;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;2096;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;49;none;rent;1;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;1101;unknown or no savings account;1 between 4 yrs;20 between 25;female : single;none;1 between 4 yrs;unknown  or  no property;27;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;vacation;894;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;car or other;40;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;11;no credits taken or all credits paid back duly;car (used);1577;500 between 1000 DM; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;20;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;33;existing credits paid back duly till now;retraining;2764;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;26;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;48;delay in paying off in the past;others;8358;between 100 and 500 DM; less than  1 yr; more than  35;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;car (used);1474;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;car or other;33;bank;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);5433;more than 1000 DM;unemployed;25 between 35;female : non-single or male : single;none; more than  7 yrs;car or other;26;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;14;no credits taken or all credits paid back duly;retraining;1410;between 100 and 500 DM; more than  7 yrs; more than  35;female : single;none;1 between 4 yrs;unknown  or  no property;35;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;20;all credits at this bank paid back duly;others;3485;more than 1000 DM; less than  1 yr;25 between 35;male : divorced or separated;none; more than  7 yrs;unknown  or  no property;44;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;car (new);3850;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
less than 0 DM;60;no credits taken or all credits paid back duly;others;7408;less than 100 DM; less than  1 yr; less than  20;female : non-single or male : single;none;1 between 4 yrs;car or other;24;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;bad
between 0 and 200 DM;24;no credits taken or all credits paid back duly;furniture or equipment;1377;less than 100 DM; more than  7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;real estate;47;none;own;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;30;existing credits paid back duly till now;retraining;4272;less than 100 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;26;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
less than 0 DM;24;existing credits paid back duly till now;furniture or equipment;1553;less than 100 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;car or other;23;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;36;existing credits paid back duly till now;retraining;9857;less than 100 DM;4 between 7 yrs; more than  35;male : married or widowed;none;4 between 7 yrs;car or other;31;none;rent;3-Feb;unskilled - resident;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;others;362;less than 100 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;52;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);1935;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;43;none;rent;5-Apr;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;48;no credits taken or all credits paid back duly;furniture or equipment;10222;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;37;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;others;1330;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;repairs;9055;more than 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;35;none;own;1;unskilled - resident;3 or more;yes;no;good
less than 0 DM;26;no credits taken or all credits paid back duly;car (new);7966;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
less than 0 DM;30;critical account or other credits elsewhere;car (used);3496;500 between 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;34;stores;rent;1;skilled employee or official;3 or more;yes;no;good
less than 0 DM;36;no credits taken or all credits paid back duly;car (new);6948;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;35;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;48;delay in paying off in the past;retraining;12204;more than 1000 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;48;bank;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;36;no credits taken or all credits paid back duly;car (used);3446;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;42;none;rent;1;skilled employee or official;3 or more;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;repairs;684;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;40;none;for free;1;unskilled - resident;3 or more;no;no;bad
no checking account;33;all credits at this bank paid back duly;car (used);4281;between 100 and 500 DM;1 between 4 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;23;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;42;no credits taken or all credits paid back duly;furniture or equipment;7174;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;30;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;24;critical account or other credits elsewhere;furniture or equipment;1546;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;guarantor; more than  7 yrs;building soc. savings agr. or life insurance;24;bank;for free;1;unskilled - resident;0 to 2;no;no;bad
no checking account;24;no credits taken or all credits paid back duly;car (used);2359;less than 100 DM;unemployed; more than  35;male : divorced or separated;none; less than  1 yr;car or other;33;none;rent;1;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;3621;less than 100 DM; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;31;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;radio or television;741;less than 100 DM;unemployed; less than  20;female : non-single or male : single;none;4 between 7 yrs;car or other;22;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;car (used);7865;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;53;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;24;no credits taken or all credits paid back duly;car (new);2910;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;real estate;34;none;own;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;18;all credits at this bank paid back duly;others;5302;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;36;none;own;5-Apr;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;36;no credits taken or all credits paid back duly;car (used);3620;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;guarantor;1 between 4 yrs;car or other;37;none;rent;1;skilled employee or official;3 or more;no;no;good
no checking account;18;no credits taken or all credits paid back duly;furniture or equipment;3509;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;guarantor; less than  1 yr;unknown  or  no property;25;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;car (used);3017;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;34;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);1657;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;27;none;rent;1;skilled employee or official;0 to 2;no;no;good
